row,column,X,Y,Z,TotalSub,TotalResist,SoilThrust,TrafFlag,TractionForce,maxAcc,Horizontal_Distance,Elevation_Difference,Slope,StepElevationDifference,Roughness
0,0,0,0,2995.0857562647216,0,0,0,0,0,0.0,0,0,0,0,0
1,1,1,0,2995.3757717272483,0,0,0,0,0,0.0,0,0,0,0,0
2,2,2,0,2995.0005737580564,0,0,0,0,0,0.0,0,0,0,0,0
3,3,3,0,2994.8153218014036,0,0,0,0,0,0.0,0,0,0,0,0
4,4,4,0,2994.874984785234,0,0,0,0,0,0.0,0,0,0,0,0
5,5,5,0,2995.0363849936334,0,0,0,0,0,0.0,0,0,0,0,0
6,6,6,0,2994.8692266590265,0,0,0,0,0,0.0,0,0,0,0,0
7,7,7,0,2994.949967935194,0,0,0,0,0,0.0,0,0,0,0,0
8,8,8,0,2995.1407304781837,0,0,0,0,0,0.0,0,0,0,0,0
9,9,9,0,2995.290182574291,0,0,0,0,0,0.0,0,0,0,0,0
10,10,10,0,2995.2464022460854,0,0,0,1,0,1.023708,0,0,0,0,0
11,11,11,0,2995.47859658703,0,0,0,1,0,1.834947,0,0,0,0,0
12,12,12,0,2995.356847180209,0,0,0,1,0,1.974691,0,0,0,0,0
13,13,13,0,2995.159314708815,0,0,0,1,0,1.13546,0,0,0,0,0
14,14,14,0,2995.0309223739437,0,0,0,1,0,1.231475,0,0,0,0,0
15,15,15,0,2995.024381816539,0,0,0,1,0,1.86841,0,0,0,0,0
16,16,16,0,2994.740286109169,0,0,0,1,0,1.926464,0,0,0,0,0
17,17,17,0,2994.8269431111016,0,0,0,1,0,1.419627,0,0,0,0,0
18,18,18,0,2995.0965901729687,0,0,0,1,0,1.050622,0,0,0,0,0
19,19,19,0,2994.875355809164,0,0,0,1,0,1.039392,0,0,0,0,0
20,20,20,0,2994.6948782924637,0,0,0,1,0,1.57395,0,0,0,0,0
21,21,21,0,2994.7831042445773,0,0,0,1,0,1.392895,0,0,0,0,0
22,22,22,0,2994.911559279104,0,0,0,1,0,1.028652,0,0,0,0,0
23,23,23,0,2994.8882150220684,0,0,0,1,0,1.583252,0,0,0,0,0
24,24,24,0,2995.0076005698993,0,0,0,1,0,1.011303,0,0,0,0,0
25,25,25,0,2995.1049212487364,0,0,0,1,0,1.787372,0,0,0,0,0
26,26,26,0,2995.136747728816,0,0,0,1,0,1.306433,0,0,0,0,0
27,27,27,0,2995.131654699337,0,0,0,1,0,1.040258,0,0,0,0,0
28,28,28,0,2995.096401953877,0,0,0,1,0,1.588352,0,0,0,0,0
29,29,29,0,2995.058243332932,0,0,0,1,0,1.397684,0,0,0,0,0
30,30,30,0,2994.847029096496,0,0,0,1,0,1.9738,0,0,0,0,0
31,31,31,0,2994.6605875961955,0,0,0,1,0,1.544199,0,0,0,0,0
32,32,32,0,2994.5313741089954,0,0,0,1,0,1.275239,0,0,0,0,0
33,33,33,0,2994.4752599659473,0,0,0,1,0,1.709439,0,0,0,0,0
34,34,34,0,2994.7076573977383,0,0,0,1,0,1.271492,0,0,0,0,0
35,35,35,0,2994.9543152331403,0,0,0,1,0,1.904243,0,0,0,0,0
36,36,36,0,2995.222222806005,0,0,0,1,0,1.374722,0,0,0,0,0
37,37,37,0,2995.2727801025144,0,0,0,1,0,1.549869,0,0,0,0,0
38,38,38,0,2995.2345624249647,0,0,0,1,0,1.050573,0,0,0,0,0
39,39,39,0,2995.055858079142,0,0,0,1,0,1.426121,0,0,0,0,0
40,40,40,0,2994.852090016069,0,0,0,1,0,1.832364,0,0,0,0,0
41,41,41,0,2994.5609604376455,0,0,0,1,0,1.805649,0,0,0,0,0
42,42,42,0,2994.6569366252056,0,0,0,1,0,1.224319,0,0,0,0,0
43,43,43,0,2994.8907618019143,0,0,0,1,0,1.226079,0,0,0,0,0
44,44,44,0,2994.8000209294987,0,0,0,1,0,1.817305,0,0,0,0,0
45,45,45,0,2994.741945583696,0,0,0,1,0,1.930398,0,0,0,0,0
46,46,46,0,2995.0292715931687,0,0,0,1,0,1.095361,0,0,0,0,0
47,47,47,0,2994.8939395587117,0,0,0,1,0,1.450059,0,0,0,0,0
48,48,48,0,2994.8301104074844,0,0,0,1,0,1.337454,0,0,0,0,0
49,49,49,0,2995.0449531923177,0,0,0,1,0,1.870688,0,0,0,0,0
50,0,0,1,2995.404548679179,0,0,0,0,0,0.0,0,0,0,0,0
51,1,1,1,2995.2563069007515,0,0,0,0,0,0.0,0,0,0,0,0
52,2,2,1,2995.420060433858,0,0,0,0,0,0.0,0,0,0,0,0
53,3,3,1,2995.274144824042,0,0,0,0,0,0.0,0,0,0,0,0
54,4,4,1,2995.2448056361523,0,0,0,0,0,0.0,0,0,0,0,0
55,5,5,1,2995.046375783734,0,0,0,0,0,0.0,0,0,0,0,0
56,6,6,1,2994.958257788002,0,0,0,0,0,0.0,0,0,0,0,0
57,7,7,1,2994.896628818623,0,0,0,0,0,0.0,0,0,0,0,0
58,8,8,1,2994.922120586872,0,0,0,0,0,0.0,0,0,0,0,0
59,9,9,1,2994.9941266472533,0,0,0,0,0,0.0,0,0,0,0,0
60,10,10,1,2995.108495367167,0,0,0,1,0,1.083525,0,0,0,0,0
61,11,11,1,2995.298559118174,0,0,0,1,0,1.211126,0,0,0,0,0
